Device,Trip,dTime
10605,7390,50
10150,4175,50
13108,11129,50
10129,5442,50
13107,767,51
13107,1086,51
10204,1766,51
10161,2275,51
10106,4274,51
10515,4939,51
10594,7291,51
10177,18220,51
10177,19979,51
10204,849,52
10162,76,52
10150,708,52
10613,68,52
10190,327,52
13107,2493,52
10136,1358,52
10153,1746,52
10162,1326,52
10139,1762,52
13110,7042,52
10138,2708,52
13107,8695,52
13105,11440,52
10106,4990,52
10224,2499,52
10159,8120,52
10173,3216,52
10177,10138,52
10224,3469,52
10177,19398,52
10594,8912,52
17101,845,53
17101,860,53
13105,1484,53
10155,373,53
10146,3343,53
10139,6578,53
10177,19644,53
10177,20475,53
10177,21102,53
10177,21814,53
10205,522,54
13110,2045,54
13107,2423,54
13103,3627,54
10204,1548,54
10133,1555,54
10159,8212,54
10159,8327,54
10159,8676,54
10137,6017,54
10177,10034,54
10177,19085,54
13105,94,55
551,2,55
10605,6136,55
10204,3198,55
10177,17509,55
13103,2669,56
10615,434,56
10152,628,56
10140,1213,56
10159,3181,56
10177,8918,56
10137,6032,56
10139,6658,56
15501,12,57
13103,2287,57
10605,354,57
10148,755,57
10139,914,57
13103,7129,57
10148,2110,57
10139,2854,57
10125,1656,57
10159,8002,57
10137,6087,57
15101,8,58
10205,172,58
10116,444,58
10154,324,58
17101,1270,58
13107,2129,58
13107,2791,58
10134,660,58
10150,1569,58
10153,1547,58
10589,1269,58
551,333,58
10137,3128,58
10129,2002,58
10106,4537,58
10106,5010,58
10177,8224,58
13107,12548,58
10615,8736,58
10132,6833,58
10177,20969,58
10502,107,59
17102,623,59
10178,1080,59
10136,1470,59
10176,1704,59
10224,1629,59
10173,1905,59
10125,2077,59
10139,4572,59
10177,18994,59
10615,10738,59
13110,1457,60
13103,2611,60
13106,2548,60
10140,561,60
13110,2834,60
10118,1988,60
10620,547,60
10125,871,60
10159,8620,60
10150,4928,60
10177,17467,60
10176,6144,60
13103,3670,61
10136,1024,61
10615,886,61
10135,1328,61
10139,1617,61
10159,3630,61
13109,5312,61
13107,7774,61
13105,11327,61
10173,2574,61
10177,10178,61
10204,3204,61
10132,6192,61
10204,148,62
10137,922,62
10118,1711,62
10162,972,62
13103,6240,62
10204,1793,62
13106,9254,62
10173,3109,62
10132,4241,62
10177,17261,62
10177,17603,62
10594,9901,62
13109,481,63
10615,436,63
10134,795,63
10150,1842,63
13109,4153,63
10129,2514,63
10605,6253,63
10222,1421,63
10159,7815,63
10159,8656,63
10132,6546,63
10150,5657,63
10176,4490,63
13107,1424,64
13103,2345,64
13101,3649,64
13101,3878,64
10153,1390,64
10158,916,64
10118,1984,64
10118,1986,64
10204,1691,64
10605,2795,64
10133,2112,64
10137,3446,64
10106,3411,64
13103,8953,64
10106,5531,64
10515,4380,64
10176,4243,64
10222,2481,64
10176,5878,64
10137,1189,65
10579,647,65
13109,2370,65
13107,3968,65
10134,868,65
13107,5913,65
13107,7998,65
10106,4569,65
13107,86,66
10205,784,66
13108,935,66
10615,227,66
10134,507,66
10142,967,66
10142,1029,66
13101,11280,66
13105,13146,66
10125,3038,66
10224,5812,66
13101,599,67
13106,690,67
10573,12,67
10150,286,67
10152,258,67
10140,936,67
10153,1462,67
10620,444,67
10610,947,67
10207,3233,67
10136,2732,67
13106,10673,67
10139,7281,67
10594,9696,67
10125,3426,67
13109,66,68
10106,683,68
10165,836,68
10575,1223,68
10207,1679,68
